test_no,test_date,test_family,impact_direction,load_cell_classification_id,source_vehicle_id,source_vehicle_no,participant_kind,participant_kind_source,vin,make,model,model_year,body_type,engine_type,engine_displacement_l,transmission,vehicle_speed_kph,vehicle_test_weight_kg,curb_weight_kg,vehicle_length_mm,vehicle_width_mm,wheelbase_mm,vax_crush_distance_mm,vehicle_cg_mm,vehicle_orientation_deg,source_row_hash
7524,2011-11-16,side,side,side_pole_load_cell_8,348,1,subject_vehicle,single_vehicle_inferred_subject,1C4RDHAG3CC130153,DODGE,DURANGO,2012,UTILITY VEHICLE,V6 INLINE FRONT,3.6,AUTOMATIC - REAR WHEEL DRIVE,32.2,2297.0,2189.0,5070.0,1930.0,3045.0,358.0,1525.0,0.0,4c1ad68395e5594d0eb75da5506d112667db96793ce5ca77b172199b9455135d
7529,2011-11-15,side,side,side_pole_load_cell_8,345,1,subject_vehicle,single_vehicle_inferred_subject,KMHDH4AE4CU258008,HYUNDAI,ELANTRA,2012,FOUR DOOR SEDAN,4 CYLINDER INLINE FRONT,1.8,AUTOMATIC - FRONT WHEEL DRIVE,32.06,1379.0,1298.0,4525.0,1770.0,2699.0,297.0,1102.0,0.0,3ff6ade22cb825f8a59ad30388f0749caf779544cc21f039af0d778c440a054d
7532,2011-11-28,side,side,side_pole_load_cell_8,357,1,subject_vehicle,single_vehicle_inferred_subject,1N4AA5AP8CC808583,NISSAN,MAXIMA,2012,FOUR DOOR SEDAN,V6 TRANSVERSE FRONT,3.5,AUTOMATIC - FRONT WHEEL DRIVE,32.1,1730.0,1616.0,4844.0,1812.0,2776.0,422.0,1138.0,0.0,2e82862353730c99bc86a07854b9a9b7324223ff5d9642d5753541aa80e08e03
7533,2011-11-28,side,side,side_pole_load_cell_8,358,1,subject_vehicle,single_vehicle_inferred_subject,1YVHZ8BH4C5M00610,MAZDA,MAZDA6,2012,FOUR DOOR SEDAN,NOT APPLICABLE,2.5,AUTOMATIC - FRONT WHEEL DRIVE,32.24,1568.0,1486.0,4918.0,1841.0,2787.0,399.0,1170.0,0.0,9789d4dfcf4c5c15a33ba3ebc8e8b20b158481cb986ba49634ada13b7c972e52
7538,2011-12-05,side,side,side_pole_load_cell_8,368,1,subject_vehicle,single_vehicle_inferred_subject,19UUA8F29CA006062,ACURA,TL,2012,FOUR DOOR SEDAN,V6 TRANSVERSE FRONT,3.5,AUTOMATIC - FRONT WHEEL DRIVE,31.59,1785.0,1700.0,4901.0,1851.0,2771.0,465.0,1110.0,0.0,0eaad363b679c4a33a34b2937091938c7c9b7b56d0a245c696e454f2136eef0a
7540,2011-12-05,side,side,side_pole_load_cell_8,369,1,subject_vehicle,single_vehicle_inferred_subject,1G1JD5SH4C4109107,CHEVROLET,SONIC,2012,FOUR DOOR SEDAN,4 CYLINDER TRANSVERSE FRONT,1.8,MANUAL - FRONT WHEEL DRIVE,32.1,1363.0,1252.0,4421.0,1691.0,2530.0,351.0,1070.0,0.0,87e3240ae799517b14ade3519caeb1a8866d852ef7bac0703fd743e84368cfae
7542,2011-12-05,side,side,side_pole_load_cell_8,372,1,subject_vehicle,single_vehicle_inferred_subject,1C4PJLAK0CW109122,JEEP,LIBERTY,2012,UTILITY VEHICLE,V6 INLINE FRONT,3.7,AUTOMATIC - REAR WHEEL DRIVE,32.41,1921.0,1795.0,4496.0,1767.0,2696.0,426.0,1398.0,0.0,885105af9b4d4725593ab7bcc086cd82e80b9f631a731a2c73a0d137965c1a3e
7565,2011-12-06,side,side,side_pole_load_cell_8,377,1,subject_vehicle,single_vehicle_inferred_subject,1FMJU1F54CEF02630,FORD,EXPEDITION,2012,UTILITY VEHICLE,V8 INLINE FRONT,5.4,AUTOMATIC - REAR WHEEL DRIVE,32.3,2716.0,2538.0,5200.0,2000.0,3010.0,449.0,1564.0,75.0,1f8cf41d4f3c2516516142c0fee0dd58a0ead841fc73cf318f9e0b47176739e3
7568,2011-12-09,side,side,side_pole_load_cell_8,381,1,subject_vehicle,single_vehicle_inferred_subject,JHMGE8H31CC005089,HONDA,FIT,2012,FIVE DOOR HATCHBACK,4 CYLINDER TRANSVERSE FRONT,1.5,AUTOMATIC - FRONT WHEEL DRIVE,32.0,1244.0,1162.0,4105.0,1694.0,2500.0,381.0,939.0,0.0,8800256108ced2e1c20012d7f87244b8806a0df3bc61e2ba4e3ac2e4ca223593
7570,2011-12-12,side,side,side_pole_load_cell_8,384,1,subject_vehicle,single_vehicle_inferred_subject,5XYZG3AB6CG103782,HYUNDAI,SANTA FE,2012,UTILITY VEHICLE,4 CYLINDER TRANSVERSE FRONT,2.4,AUTOMATIC - FRONT WHEEL DRIVE,32.0,1818.0,1691.0,4656.0,1846.0,2700.0,372.0,1226.0,0.0,9019a45acb843181ea9c379224c78517c51db17026bd240c99fa59b084a2689d
7581,2011-12-16,side,side,side_pole_load_cell_8,398,1,subject_vehicle,single_vehicle_inferred_subject,YV1622FS6C2089004,VOLVO,S60,2012,FOUR DOOR SEDAN,5 CYLINDER TRANSVERSE FRONT,2.5,AUTOMATIC - FRONT WHEEL DRIVE,32.03,1772.0,1603.0,4620.0,1825.0,2774.0,417.0,1197.0,0.0,a3f75b366800f702fd65d082e0d2257dcc25c46a4a6eacc564a034cf9149f430
