test_id,test_no,vehicle_id,impact_family,vehicle_role,damage_face,profile_axis,crush_axis,point_index,dpd_value_mm,s_local_mm,s_vehicle_mm,s_norm,lencnt_mm,damdst_mm,quality_tier,source
14,7347,19,frontal_barrier,subject_vehicle,front,Y,X,6,422.0,685.0,685.0,0.5,1370.0,0.0,A_ProfileValid,raw_json_with_canonical_fallback
17,7348,24,side,subject_vehicle,side_unknown,X,Y,1,0.0,-1500.0,-1460.0,-0.5,3000.0,40.0,C_MaxOnly,raw_json_with_canonical_fallback
17,7348,24,side,subject_vehicle,side_unknown,X,Y,2,0.0,-900.0,-860.0,-0.3,3000.0,40.0,C_MaxOnly,raw_json_with_canonical_fallback
17,7348,24,side,subject_vehicle,side_unknown,X,Y,3,0.0,-300.0,-260.0,-0.1,3000.0,40.0,C_MaxOnly,raw_json_with_canonical_fallback
17,7348,24,side,subject_vehicle,side_unknown,X,Y,4,0.0,300.0,340.0,0.1,3000.0,40.0,C_MaxOnly,raw_json_with_canonical_fallback
17,7348,24,side,subject_vehicle,side_unknown,X,Y,5,0.0,900.0,940.0,0.3,3000.0,40.0,C_MaxOnly,raw_json_with_canonical_fallback
17,7348,24,side,subject_vehicle,side_unknown,X,Y,6,0.0,1500.0,1540.0,0.5,3000.0,40.0,C_MaxOnly,raw_json_with_canonical_fallback
19,7349,26,side,subject_vehicle,side_unknown,X,Y,1,0.0,-1650.0,-1169.0,-0.5,3300.0,481.0,C_MaxOnly,raw_json_with_canonical_fallback
19,7349,26,side,subject_vehicle,side_unknown,X,Y,2,0.0,-990.0,-509.0,-0.3,3300.0,481.0,C_MaxOnly,raw_json_with_canonical_fallback
19,7349,26,side,subject_vehicle,side_unknown,X,Y,3,0.0,-330.0,151.0,-0.1,3300.0,481.0,C_MaxOnly,raw_json_with_canonical_fallback
19,7349,26,side,subject_vehicle,side_unknown,X,Y,4,0.0,330.0,811.0,0.1,3300.0,481.0,C_MaxOnly,raw_json_with_canonical_fallback
19,7349,26,side,subject_vehicle,side_unknown,X,Y,5,0.0,990.0,1471.0,0.3,3300.0,481.0,C_MaxOnly,raw_json_with_canonical_fallback
19,7349,26,side,subject_vehicle,side_unknown,X,Y,6,0.0,1650.0,2131.0,0.5,3300.0,481.0,C_MaxOnly,raw_json_with_canonical_fallback
18,7350,25,frontal_barrier,subject_vehicle,front,Y,X,1,368.0,-544.0,-544.0,-0.5,1088.0,0.0,A_ProfileValid,raw_json_with_canonical_fallback
18,7350,25,frontal_barrier,subject_vehicle,front,Y,X,2,477.0,-326.4,-326.4,-0.3,1088.0,0.0,A_ProfileValid,raw_json_with_canonical_fallback
18,7350,25,frontal_barrier,subject_vehicle,front,Y,X,3,533.0,-108.80000000000001,-108.80000000000001,-0.1,1088.0,0.0,A_ProfileValid,raw_json_with_canonical_fallback
18,7350,25,frontal_barrier,subject_vehicle,front,Y,X,4,551.0,108.79999999999995,108.79999999999995,0.09999999999999996,1088.0,0.0,A_ProfileValid,raw_json_with_canonical_fallback
18,7350,25,frontal_barrier,subject_vehicle,front,Y,X,5,502.0,326.4,326.4,0.3,1088.0,0.0,A_ProfileValid,raw_json_with_canonical_fallback
18,7350,25,frontal_barrier,subject_vehicle,front,Y,X,6,402.0,544.0,544.0,0.5,1088.0,0.0,A_ProfileValid,raw_json_with_canonical_fallback
22,7351,30,side,subject_vehicle,side_unknown,X,Y,1,0.0,-1725.0,-1203.0,-0.5,3450.0,522.0,C_MaxOnly,raw_json_with_canonical_fallback
22,7351,30,side,subject_vehicle,side_unknown,X,Y,2,0.0,-1035.0,-513.0,-0.3,3450.0,522.0,C_MaxOnly,raw_json_with_canonical_fallback
22,7351,30,side,subject_vehicle,side_unknown,X,Y,3,0.0,-345.0,177.0,-0.1,3450.0,522.0,C_MaxOnly,raw_json_with_canonical_fallback
22,7351,30,side,subject_vehicle,side_unknown,X,Y,4,0.0,345.0,867.0,0.1,3450.0,522.0,C_MaxOnly,raw_json_with_canonical_fallback
22,7351,30,side,subject_vehicle,side_unknown,X,Y,5,0.0,1035.0,1557.0,0.3,3450.0,522.0,C_MaxOnly,raw_json_with_canonical_fallback
22,7351,30,side,subject_vehicle,side_unknown,X,Y,6,0.0,1725.0,2247.0,0.5,3450.0,522.0,C_MaxOnly,raw_json_with_canonical_fallback
23,7352,32,side_impactor,subject_vehicle,side_unknown,X,Y,1,30.0,-1500.0,-1529.0,-0.5,3000.0,-29.0,A_ProfileValid,raw_json_with_canonical_fallback
23,7352,32,side_impactor,subject_vehicle,side_unknown,X,Y,2,78.0,-900.0,-929.0,-0.3,3000.0,-29.0,A_ProfileValid,raw_json_with_canonical_fallback
23,7352,32,side_impactor,subject_vehicle,side_unknown,X,Y,3,316.0,-300.0,-329.0,-0.1,3000.0,-29.0,A_ProfileValid,raw_json_with_canonical_fallback
23,7352,32,side_impactor,subject_vehicle,side_unknown,X,Y,4,253.0,300.0,271.0,0.1,3000.0,-29.0,A_ProfileValid,raw_json_with_canonical_fallback
23,7352,32,side_impactor,subject_vehicle,side_unknown,X,Y,5,241.0,900.0,871.0,0.3,3000.0,-29.0,A_ProfileValid,raw_json_with_canonical_fallback
23,7352,32,side_impactor,subject_vehicle,side_unknown,X,Y,6,72.0,1500.0,1471.0,0.5,3000.0,-29.0,A_ProfileValid,raw_json_with_canonical_fallback
20,7353,28,side_impactor,subject_vehicle,side_unknown,X,Y,1,2.0,-1800.0,-1484.0,-0.5,3600.0,316.0,A_ProfileValid,raw_json_with_canonical_fallback
20,7353,28,side_impactor,subject_vehicle,side_unknown,X,Y,2,12.0,-1080.0,-764.0,-0.3,3600.0,316.0,A_ProfileValid,raw_json_with_canonical_fallback
20,7353,28,side_impactor,subject_vehicle,side_unknown,X,Y,3,232.0,-360.0,-44.0,-0.1,3600.0,316.0,A_ProfileValid,raw_json_with_canonical_fallback
20,7353,28,side_impactor,subject_vehicle,side_unknown,X,Y,4,221.0,360.0,676.0,0.1,3600.0,316.0,A_ProfileValid,raw_json_with_canonical_fallback
