test_id,test_no,vehicle_id,source_vehicle_no,impact_family,vehicle_role,quality_tier,flag_all_zero_placeholder,flag_not_subject_vehicle,flag_dpd_all_zero,flag_crhdst_missing_or_zero,flag_vdi_unusable,flag_lencnt_missing,flag_damdst_missing,flag_lencnt_out_of_range,flag_damdst_out_of_range,flag_crhdst_lt_dpdmax,flag_pdof_family_mismatch,flag_side_imppnt_mismatch,flag_axbx_all_missing,flag_axbx_no_delta,flag_rear_low_confidence,flag_dpd_negative,flag_negative_dpd_present,flag_cmean_negative,flag_not_target_family,exclusion_reason
3543,14315,4239,1,side_impactor,impactor_vehicle,X_Exclude,0,1,0,1,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,not_subject_vehicle
3532,14328,4222,1,side_impactor,impactor_vehicle,X_Exclude,0,1,0,1,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,not_subject_vehicle
3439,14354,4100,1,research_other,subject_vehicle,B_ProfilePartial,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,audit_only_family
3441,14355,4102,1,research_other,subject_vehicle,A_ProfileValid,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,audit_only_family
3458,14356,4125,1,research_other,subject_vehicle,A_ProfileValid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,audit_only_family
3459,14357,4126,1,research_other,subject_vehicle,A_ProfileValid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,audit_only_family
3468,14358,4136,1,research_other,subject_vehicle,A_ProfileValid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,audit_only_family
3474,14359,4145,1,research_other,subject_vehicle,A_ProfileValid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,audit_only_family
3478,14360,4151,1,research_other,subject_vehicle,A_ProfileValid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,audit_only_family
3484,14361,4158,1,research_other,subject_vehicle,A_ProfileValid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,audit_only_family
