category,test_id,test_no,vehicle_id,impact_family,vehicle_role,quality_tier,outlier_type,metric,value,comparator,VDI,PDOF,CRHDST,C_profile_max_mm,reason
high_C_mean_norm,1335,8590,1604,frontal_barrier,subject_vehicle,A_ProfileValid,high_C_mean_norm,C_mean_norm,0.12029871011541073,0.11883924757349121,12FDEW3,0.0,549.0,549.0,high_C_mean_norm
high_C_max_norm,1376,8648,1647,side,subject_vehicle,A_ProfileValid,high_C_max_norm,C_max_norm,0.2708902239213545,0.2575310100413467,09LPEW2,285.0,496.0,336.0,high_C_max_norm
high_C_mean_norm,1416,8665,1689,side,subject_vehicle,A_ProfileValid,high_C_mean_norm,C_mean_norm,0.13611422172452406,0.12762569666304482,09LPAN3,285.0,427.0,433.0,high_C_mean_norm
high_C_mean_norm,1417,8666,1691,side_impactor,subject_vehicle,A_ProfileValid,high_C_mean_norm,C_mean_norm,0.11842105263157894,0.10695075495923233,03LPAW2,297.0,269.0,265.0,high_C_mean_norm
high_C_max_norm,1420,8748,1694,frontal_barrier,subject_vehicle,A_ProfileValid,high_C_max_norm,C_max_norm,0.1630198763988642,0.13424949728416466,12FDEW6,0.0,976.0,675.0,high_C_max_norm
high_C_max_norm,1435,8780,1712,side,subject_vehicle,A_ProfileValid,high_C_max_norm,C_max_norm,0.26578249336870025,0.2575310100413467,09LPEW2,285.0,501.0,354.0,high_C_max_norm
high_C_mean_norm,1507,8985,1805,side,subject_vehicle,A_ProfileValid,high_C_mean_norm,C_mean_norm,0.13327991452991453,0.12762569666304482,09LPAN3,285.0,349.0,409.0,high_C_mean_norm
high_C_max_norm,1516,8991,1820,side_impactor,subject_vehicle,A_ProfileValid,high_C_max_norm,C_max_norm,0.17412935323383086,0.15611387289958717,10LPAW3,297.0,315.0,315.0,high_C_max_norm
high_C_mean_norm,1516,8991,1820,side_impactor,subject_vehicle,A_ProfileValid,high_C_mean_norm,C_mean_norm,0.11232725262576009,0.10695075495923233,10LPAW3,297.0,315.0,315.0,high_C_mean_norm
high_C_max_norm,1523,8992,1828,side_impactor,subject_vehicle,A_ProfileValid,high_C_max_norm,C_max_norm,0.16925638179800223,0.15611387289958717,10LPAW3,297.0,305.0,305.0,high_C_max_norm
high_C_mean_norm,1523,8992,1828,side_impactor,subject_vehicle,A_ProfileValid,high_C_mean_norm,C_mean_norm,0.1251387347391787,0.10695075495923233,10LPAW3,297.0,305.0,305.0,high_C_mean_norm
high_C_max_norm,1529,8994,1835,side,subject_vehicle,A_ProfileValid,high_C_max_norm,C_max_norm,0.2868260144524736,0.2575310100413467,09LPEW2,285.0,516.0,376.0,high_C_max_norm
high_C_max_norm,1534,8996,1840,side,subject_vehicle,A_ProfileValid,high_C_max_norm,C_max_norm,0.2634200332042059,0.2575310100413467,09LPEW2,285.0,476.0,355.0,high_C_max_norm
high_C_mean_norm,1582,9032,1898,side_impactor,subject_vehicle,A_ProfileValid,high_C_mean_norm,C_mean_norm,0.11907654921020656,0.10695075495923233,03LPAW2,297.0,250.0,246.0,high_C_mean_norm
high_C_mean_norm,1601,9053,1921,side,subject_vehicle,A_ProfileValid,high_C_mean_norm,C_mean_norm,0.13694068678459936,0.12762569666304482,09LPAN3,285.0,456.0,420.0,high_C_mean_norm
high_C_mean_norm,1602,9054,1923,side_impactor,subject_vehicle,A_ProfileValid,high_C_mean_norm,C_mean_norm,0.11394380853277836,0.10695075495923233,03LPAW2,297.0,274.0,267.0,high_C_mean_norm
high_C_mean_norm,1705,9294,2047,side_impactor,subject_vehicle,A_ProfileValid,high_C_mean_norm,C_mean_norm,0.11029094827586207,0.10695075495923233,10LPEW2,297.0,265.0,268.0,high_C_mean_norm
high_C_max_norm,1775,9469,2132,side,subject_vehicle,A_ProfileValid,high_C_max_norm,C_max_norm,0.29777777777777775,0.2575310100413467,10LPAN3,285.0,603.0,477.0,high_C_max_norm
high_C_mean_norm,1775,9469,2132,side,subject_vehicle,A_ProfileValid,high_C_mean_norm,C_mean_norm,0.13056790123456788,0.12762569666304482,10LPAN3,285.0,603.0,477.0,high_C_mean_norm
high_C_mean_norm,1768,9471,2123,side_impactor,subject_vehicle,A_ProfileValid,high_C_mean_norm,C_mean_norm,0.5095628415300546,0.10695075495923233,10LPEW2,297.0,186.0,2075.0,high_C_mean_norm
high_C_max_norm,1780,9473,2138,side,subject_vehicle,A_ProfileValid,high_C_max_norm,C_max_norm,0.3361220472440945,0.2575310100413467,10LPAN3,285.0,683.0,571.0,high_C_max_norm
high_C_mean_norm,1780,9473,2138,side,subject_vehicle,A_ProfileValid,high_C_mean_norm,C_mean_norm,0.14015748031496064,0.12762569666304482,10LPAN3,285.0,683.0,571.0,high_C_mean_norm
high_C_max_norm,1830,9504,2202,side_impactor,subject_vehicle,A_ProfileValid,high_C_max_norm,C_max_norm,0.23535620052770448,0.15611387289958717,10LPEW2,297.0,446.0,446.0,high_C_max_norm
high_C_mean_norm,1830,9504,2202,side_impactor,subject_vehicle,A_ProfileValid,high_C_mean_norm,C_mean_norm,0.1920844327176781,0.10695075495923233,10LPEW2,297.0,446.0,446.0,high_C_mean_norm
high_C_max_norm,1844,9510,2219,side_impactor,subject_vehicle,A_ProfileValid,high_C_max_norm,C_max_norm,0.15959952885747938,0.15611387289958717,10LPAW3,297.0,271.0,251.0,high_C_max_norm
high_C_max_norm,1874,9515,2250,side,subject_vehicle,A_ProfileValid,high_C_max_norm,C_max_norm,0.2668639053254438,0.2575310100413467,09LPEW2,285.0,451.0,436.0,high_C_max_norm
high_C_max_norm,2007,9595,2404,side_impactor,subject_vehicle,A_ProfileValid,high_C_max_norm,C_max_norm,0.17965023847376788,0.15611387289958717,09LPEW2,270.0,339.0,303.0,high_C_max_norm
high_C_max_norm,2029,9787,2435,side_impactor,subject_vehicle,A_ProfileValid,high_C_max_norm,C_max_norm,0.20053908355795147,0.15611387289958717,,297.0,372.0,232.0,high_C_max_norm
high_C_max_norm,2179,9969,2618,frontal_barrier,subject_vehicle,A_ProfileValid,high_C_max_norm,C_max_norm,0.1430666108085463,0.13424949728416466,12FDEW2,0.0,683.0,580.0,high_C_max_norm
high_C_max_norm,2236,9984,2682,frontal_barrier,subject_vehicle,A_ProfileValid,high_C_max_norm,C_max_norm,0.15870967741935485,0.13424949728416466,12FDEW2,0.0,738.0,686.0,high_C_max_norm
high_C_mean_norm,2236,9984,2682,frontal_barrier,subject_vehicle,A_ProfileValid,high_C_mean_norm,C_mean_norm,0.1269032258064516,0.11883924757349121,12FDEW2,0.0,738.0,686.0,high_C_mean_norm
high_C_max_norm,2245,9990,2693,side_impactor,subject_vehicle,A_ProfileValid,high_C_max_norm,C_max_norm,0.16693591814754982,0.15611387289958717,09LPEW3,297.0,310.0,329.0,high_C_max_norm
high_C_mean_norm,2245,9990,2693,side_impactor,subject_vehicle,A_ProfileValid,high_C_mean_norm,C_mean_norm,0.11443187937533657,0.10695075495923233,09LPEW3,297.0,310.0,329.0,high_C_mean_norm
high_C_max_norm,2261,10001,2713,frontal_barrier,subject_vehicle,A_ProfileValid,high_C_max_norm,C_max_norm,0.1361003861003861,0.13424949728416466,12FDEW2,0.0,705.0,692.0,high_C_max_norm
high_C_mean_norm,2261,10001,2713,frontal_barrier,subject_vehicle,A_ProfileValid,high_C_mean_norm,C_mean_norm,0.12575289575289578,0.11883924757349121,12FDEW2,0.0,705.0,692.0,high_C_mean_norm
high_C_max_norm,2609,10312,3102,frontal_barrier,subject_vehicle,A_ProfileValid,high_C_max_norm,C_max_norm,0.15415094339622643,0.13424949728416466,12FDEW3,0.0,817.0,817.0,high_C_max_norm
high_C_mean_norm,2609,10312,3102,frontal_barrier,subject_vehicle,A_ProfileValid,high_C_mean_norm,C_mean_norm,0.14298113207547172,0.11883924757349121,12FDEW3,0.0,817.0,817.0,high_C_mean_norm
high_C_mean_norm,2621,10319,3117,side_impactor,subject_vehicle,A_ProfileValid,high_C_mean_norm,C_mean_norm,0.10839779005524862,0.10695075495923233,10LPEW2,297.0,269.0,269.0,high_C_mean_norm
high_C_max_norm,2629,10343,3128,frontal_barrier,subject_vehicle,A_ProfileValid,high_C_max_norm,C_max_norm,0.138318863456985,0.13424949728416466,12FDEW2,0.0,701.0,612.0,high_C_max_norm
high_C_mean_norm,2727,10553,3237,side_impactor,subject_vehicle,A_ProfileValid,high_C_mean_norm,C_mean_norm,0.10902743142144639,0.10695075495923233,10LPEW2,297.0,247.0,247.0,high_C_mean_norm
high_C_max_norm,2730,10558,3240,side,subject_vehicle,A_ProfileValid,high_C_max_norm,C_max_norm,0.26166832174776566,0.2575310100413467,10LPAS4,285.0,527.0,112.0,high_C_max_norm
high_C_max_norm,2733,10559,3244,side_impactor,subject_vehicle,A_ProfileValid,high_C_max_norm,C_max_norm,0.16832174776564052,0.15611387289958717,10LPAS3,297.0,339.0,311.0,high_C_max_norm
high_C_max_norm,2741,10566,3254,side_impactor,subject_vehicle,A_ProfileValid,high_C_max_norm,C_max_norm,0.16534988713318285,0.15611387289958717,10LPAS3,297.0,293.0,259.0,high_C_max_norm
high_C_mean_norm,2752,10568,3265,side,subject_vehicle,A_ProfileValid,high_C_mean_norm,C_mean_norm,0.13143603133159268,0.12762569666304482,09LPAN3,285.0,401.0,401.0,high_C_mean_norm
high_C_max_norm,2746,10569,3259,side,subject_vehicle,A_ProfileValid,high_C_max_norm,C_max_norm,0.268690275435638,0.2575310100413467,10LPAS4,285.0,478.0,322.0,high_C_max_norm
high_C_max_norm,2795,10638,3312,frontal_barrier,subject_vehicle,A_ProfileValid,high_C_max_norm,C_max_norm,0.13591609589041095,0.13424949728416466,12FDEW2,0.0,635.0,635.0,high_C_max_norm
high_C_mean_norm,2795,10638,3312,frontal_barrier,subject_vehicle,A_ProfileValid,high_C_mean_norm,C_mean_norm,0.13129280821917808,0.11883924757349121,12FDEW2,0.0,635.0,635.0,high_C_mean_norm
