test_no,model_year,make,model,body_style,crash_type,crash_type_rule,test_config_code,test_config_label,impact_speed_value,impact_speed_unit,load_cell_barrier_family,load_cell_barrier_classification_id,load_cell_barrier_config_version,test_weight_kg,curb_weight_kg,length_mm,width_mm,wheelbase_mm,vax_crush_distance_mm
7540,2012,CHEVROLET,SONIC,FOUR DOOR SEDAN,NEW CAR ASSESSMENT TEST,side,VTP,VEHICLE INTO POLE,32.1,km/h,side_pole_load_cell_barrier,side_pole_load_cell_8,2.2.2-db2011plus-shape-normalized-metadata-explicit-final,1363.0,1252.0,4421.0,1691.0,2530.0,351.0
7542,2012,JEEP,LIBERTY,UTILITY VEHICLE,NEW CAR ASSESSMENT TEST,side,VTP,VEHICLE INTO POLE,32.41,km/h,side_pole_load_cell_barrier,side_pole_load_cell_8,2.2.2-db2011plus-shape-normalized-metadata-explicit-final,1921.0,1795.0,4496.0,1767.0,2696.0,426.0
7565,2012,FORD,EXPEDITION,UTILITY VEHICLE,NEW CAR ASSESSMENT TEST,side,VTP,VEHICLE INTO POLE,32.3,km/h,side_pole_load_cell_barrier,side_pole_load_cell_8,2.2.2-db2011plus-shape-normalized-metadata-explicit-final,2716.0,2538.0,5200.0,2000.0,3010.0,449.0
7568,2012,HONDA,FIT,FIVE DOOR HATCHBACK,NEW CAR ASSESSMENT TEST,side,VTP,VEHICLE INTO POLE,32.0,km/h,side_pole_load_cell_barrier,side_pole_load_cell_8,2.2.2-db2011plus-shape-normalized-metadata-explicit-final,1244.0,1162.0,4105.0,1694.0,2500.0,381.0
7570,2012,HYUNDAI,SANTA FE,UTILITY VEHICLE,NEW CAR ASSESSMENT TEST,side,VTP,VEHICLE INTO POLE,32.0,km/h,side_pole_load_cell_barrier,side_pole_load_cell_8,2.2.2-db2011plus-shape-normalized-metadata-explicit-final,1818.0,1691.0,4656.0,1846.0,2700.0,372.0
7581,2012,VOLVO,S60,FOUR DOOR SEDAN,NEW CAR ASSESSMENT TEST,side,VTP,VEHICLE INTO POLE,32.03,km/h,side_pole_load_cell_barrier,side_pole_load_cell_8,2.2.2-db2011plus-shape-normalized-metadata-explicit-final,1772.0,1603.0,4620.0,1825.0,2774.0,417.0
7583,2012,KIA,SPORTAGE,UTILITY VEHICLE,NEW CAR ASSESSMENT TEST,side,VTP,VEHICLE INTO POLE,32.4,km/h,side_pole_load_cell_barrier,side_pole_load_cell_8,2.2.2-db2011plus-shape-normalized-metadata-explicit-final,1577.0,1461.0,4446.0,1799.0,2640.0,368.0
7584,2012,CHEVROLET,SILVERADO2500,4 DOOR PICKUP,NEW CAR ASSESSMENT TEST,side,VTP,VEHICLE INTO POLE,32.0,km/h,side_pole_load_cell_barrier,side_pole_load_cell_8,2.2.2-db2011plus-shape-normalized-metadata-explicit-final,3068.0,2887.0,6105.0,2004.0,3915.0,447.0
7590,2012,CHRYSLER,300,FOUR DOOR SEDAN,NEW CAR ASSESSMENT TEST,side,VTP,VEHICLE INTO POLE,32.0,km/h,side_pole_load_cell_barrier,side_pole_load_cell_8,2.2.2-db2011plus-shape-normalized-metadata-explicit-final,1908.0,1811.0,5050.0,1876.0,3052.0,356.0
7591,2012,TOYOTA,TUNDRA,4 DOOR PICKUP,NEW CAR ASSESSMENT TEST,side,VTP,VEHICLE INTO POLE,31.5,km/h,side_pole_load_cell_barrier,side_pole_load_cell_8,2.2.2-db2011plus-shape-normalized-metadata-explicit-final,2647.0,2469.0,5816.0,2037.0,3706.0,454.0
